timestamp,camera_id,frame_id,decode_ms,detection_ms,tracking_ms,reid_ms,matching_ms,total_ai_ms
2026-09-01T15:49:11.888013+07:00,c8,15,1.086,18.058,0.000,0.000,0.002,19.146
2026-09-01T15:49:11.888081+07:00,c9,12,4.840,18.058,0.000,0.000,0.001,22.899
2026-09-01T15:49:11.905076+07:00,c8,16,2.507,16.934,0.000,0.000,0.002,19.443
2026-09-01T15:49:11.905123+07:00,c9,13,1.393,16.934,0.000,0.000,0.001,18.328
2026-09-01T15:49:11.931633+07:00,c8,17,19.761,26.445,0.000,0.000,0.002,46.208
2026-09-01T15:49:11.931689+07:00,c9,14,1.654,26.445,0.000,0.000,0.001,28.099
2026-09-01T15:49:11.931717+07:00,c10,12,5.775,26.445,0.000,0.000,0.001,32.221
2026-09-01T15:49:11.955930+07:00,c8,18,35.939,24.129,0.000,0.000,0.003,60.070
2026-09-01T15:49:11.955993+07:00,c9,15,16.822,24.129,0.000,0.000,0.001,40.952
2026-09-01T15:49:11.956019+07:00,c10,13,5.068,24.129,0.000,0.000,0.001,29.197
2026-09-01T15:49:11.972189+07:00,c9,16,48.638,16.108,0.000,0.000,0.002,64.749
2026-09-01T15:49:11.972240+07:00,c10,14,17.257,16.108,0.000,0.000,0.001,33.366
2026-09-01T15:49:11.997155+07:00,c8,19,39.460,24.850,0.000,0.000,0.002,64.312
2026-09-01T15:49:11.997210+07:00,c9,17,19.010,24.850,0.000,0.000,0.001,43.861
2026-09-01T15:49:11.997237+07:00,c10,15,4.000,24.850,0.000,0.000,0.001,28.851
2026-09-01T15:49:12.008152+07:00,c10,16,39.283,10.794,0.000,0.000,0.004,50.082
2026-09-01T15:49:12.020639+07:00,c8,20,49.734,12.379,0.000,0.000,0.002,62.115
2026-09-01T15:49:12.039399+07:00,c9,18,45.433,18.656,0.000,0.000,0.003,64.092
2026-09-01T15:49:12.039459+07:00,c10,17,36.196,18.656,0.000,0.000,0.001,54.854
2026-09-01T15:49:12.060509+07:00,c8,21,32.703,20.976,0.000,0.000,0.002,53.681
2026-09-01T15:49:12.060572+07:00,c11,14,252.830,20.976,0.000,0.000,0.001,273.807
2026-09-01T15:49:12.085752+07:00,c9,19,44.651,25.118,0.000,0.000,0.002,69.771
2026-09-01T15:49:12.085805+07:00,c10,18,39.548,25.118,0.000,0.000,0.001,64.667
2026-09-01T15:49:12.085831+07:00,c11,15,28.164,25.118,0.000,0.000,0.001,53.283
2026-09-01T15:49:12.107402+07:00,c8,22,37.508,21.499,0.000,0.000,0.002,59.010
2026-09-01T15:49:12.107459+07:00,c9,20,29.005,21.499,0.000,0.000,0.001,50.506
2026-09-01T15:49:12.107482+07:00,c11,16,7.148,21.499,0.000,0.000,0.001,28.648
2026-09-01T15:49:12.127157+07:00,c10,19,35.946,19.619,0.000,0.000,0.002,55.567
2026-09-01T15:49:12.127199+07:00,c11,17,11.318,19.619,0.000,0.000,0.001,30.938
2026-09-01T15:49:12.138247+07:00,c11,18,2.922,10.979,0.000,0.000,0.003,13.904
2026-09-01T15:49:12.166310+07:00,c8,23,58.469,27.970,0.000,0.000,0.002,86.442
2026-09-01T15:49:12.166360+07:00,c9,21,52.283,27.970,0.000,0.000,0.001,80.254
2026-09-01T15:49:12.166382+07:00,c11,19,41.866,27.970,0.000,0.000,0.001,69.837
2026-09-01T15:49:12.181381+07:00,c10,20,43.495,14.919,0.000,0.000,0.003,58.416
2026-09-01T15:49:12.213621+07:00,c8,24,32.446,32.125,0.000,0.000,0.003,64.574
2026-09-01T15:49:12.213690+07:00,c9,22,34.958,32.125,0.000,0.000,0.001,67.084
2026-09-01T15:49:12.213715+07:00,c10,21,41.151,32.125,0.000,0.000,0.001,73.277
2026-09-01T15:49:12.213736+07:00,c11,20,35.409,32.125,0.000,0.000,0.001,67.535
2026-09-01T15:49:12.237386+07:00,c8,25,42.419,23.577,0.000,0.000,0.002,65.998
2026-09-01T15:49:12.237440+07:00,c9,23,40.087,23.577,0.000,0.000,0.001,63.666
2026-09-01T15:49:12.237468+07:00,c12,16,385.402,23.577,0.000,0.000,0.001,408.980
2026-09-01T15:49:12.266379+07:00,c10,22,41.646,28.794,0.000,0.000,0.005,70.444
2026-09-01T15:49:12.266499+07:00,c11,21,54.057,28.794,0.000,0.000,0.002,82.853
2026-09-01T15:49:12.266569+07:00,c12,17,0.902,28.794,0.000,0.000,0.002,29.698
2026-09-01T15:49:12.303422+07:00,c8,26,35.092,36.770,0.000,0.000,0.003,71.865
2026-09-01T15:49:12.303474+07:00,c9,24,34.816,36.770,0.000,0.000,0.001,71.587
2026-09-01T15:49:12.303496+07:00,c10,23,35.341,36.770,0.000,0.000,0.001,72.112
2026-09-01T15:49:12.303516+07:00,c11,22,42.931,36.770,0.000,0.000,0.001,79.702
2026-09-01T15:49:12.303535+07:00,c12,18,1.198,36.770,0.000,0.000,0.001,37.969
2026-09-01T15:49:12.337750+07:00,c8,27,29.160,34.143,0.000,0.000,0.002,63.306
2026-09-01T15:49:12.337810+07:00,c9,25,44.464,34.143,0.000,0.000,0.001,78.608
2026-09-01T15:49:12.337834+07:00,c10,24,45.041,34.143,0.000,0.000,0.001,79.185
2026-09-01T15:49:12.337859+07:00,c11,23,16.584,34.143,0.000,0.000,0.001,50.728
2026-09-01T15:49:12.337882+07:00,c12,19,1.040,34.143,0.000,0.000,0.001,35.184
